item_id,name,price
1,Vintage Camera,355
2,Stolen Phone,120
3,Laptop,349
4,Crown Watch,373
5,Luggage,129
6,Suitcase,153
7,Toolbox,177
8,Duffel Bag,102
9,Tape Player,128
10,Computer Monitor,283
11,Television,482
12,Old Smartphone,186
13,Computer Monitor,299
14,Pearl Necklace,250
15,Gold Chain,295
16,Luxury Watch,334
17,Silver Ring,121
18,Vintage Watch,86
19,Vintage Camera,371
20,Old Smartphone,203
21,Laptop,427
22,Rare Painting,1347
23,Ornate Vase,192
24,Silver Ring,99
25,Vintage Watch,373
26,Simple Medallion,136
27,Ancient Artifact,1050
28,Antique Coin,162
29,Bronze Medal,78
30,Computer Monitor,180
31,Crowex Watch,360
32,Diamond Earrings,300
33,Duffel Bag,78
34,Ghetto Blaster,108
35,Ornate Vase,192
36,Gold Chain,195
37,Golden Statue,1140
38,Guitar,162
39,Laptop,27
40,Microwave,162
41,Old Smartphone,135
42,Vintage Watch,90
43,Pearl Necklace,255
44,Rare Painting,840
45,Silver Ring,108
46,Vintage Camera,270
47,Vinyl Record,144
48,Stolen Phone,111
49,Vintage Watch,90
50,Ornate Vase,228
51,Sculpture,270
52,Simple Medallion,162
53,Luxury Watch,300
54,Suitcase,96
55,Tape Player,78
56,Television,315
57,Toolbox,144
58,Silver Ring,108
59,Vintage Camera,270
60,Vinyl Record,144
61,Gold Chain,195
62,Stolen Phone,111
63,Vintage Watch,90
64,Exhaust Pipe,228
65,Car Battery,167
66,Catalytic Converter,380
67,Car Battery,125
68,Catalytic Converter,267
69,Exhaust,201
70,Wheel,87
71,White Feathers,240
72,Deer Pelt[Legendary],1120
73,Brown Black Feathers,240
74,Shimmering Red Brown Feathers,1200
75,Red Grey Feathers,240
76,Boar Pelt[Normal],240
77,Grey Black Feathers,240
78,Lion Pelt [Normal],240
79,Deer Pelt[Normal],240
80,Boar Pelt[Normal],240
81,Brown Black Feathers,180
82,Deep Green Grey Feathers,1080
83,Grey Black Feathers,180
84,Vibrant Red Grey Feathers,840
85,Red Brown Feathers,180
86,Red Grey Feathers,180
87,Shimmering Red Brown Feathers,900
88,Vibrant White Feathers,1200
89,White Feathers,180
90,Boar Pelt[Legendary],840
91,Boar Pelt[Normal],180
92,Boar Pelt[Rare],360
93,Cow Pelt[Legendary],840
94,Coyote Pelt[Rare],360
95,Deer Pelt[Legendary],840
96,Boar Pelt[Rare],360
97,Cow Pelt[Legendary],840
98,Cow Pelt[Normal],180
99,Cow Pelt[Rare],360
100,Coyote Pelt[Legendary],840
101,Coyote Pelt[Rare],360
102,Deer Pelt[Legendary],840
103,Deer Pelt[Normal],180
104,Deer Pelt[Rare],360
105,Lion Pelt[Legendary],840
106,Lion Pelt[Normal],180
107,Lion Pelt[Rare],360
